,Player,Link,StartYear,EndYear,Position,Tenure,Height,Weight,Birthday,All_Star_apps,All_NBA_apps,All_Def_apps,HOF,Games,PPG,TRPG,APG,FG_pct,3_pt_pct,FT_pct,eFG_pct,PER,WS
17,Arron Afflalo,/players/a/afflaar01.html,2008,2018,GF,10,196cm,95kg,1985-10-15,0,0,0,0,762,10.8,2.9,1.8,45.0,38.6,82.5,51.4,11.9,33.5
18,Maurice Ager,/players/a/agerma01.html,2007,2011,G,4,196cm,91kg,1984-02-09,0,0,0,0,82,2.1,0.6,0.2,33.9,25.0,56.6,36.8,2.8,-0.9
19,Mark Aguirre,/players/a/aguirma01.html,1982,1994,FG,12,198cm,105kg,1959-12-10,3,0,0,0,923,20.0,5.0,3.1,48.4,31.2,74.1,49.8,19.0,67.8
20,Blake Ahearn,/players/a/ahearbl01.html,2008,2012,G,4,188cm,86kg,1984-05-27,0,0,0,0,19,4.6,1.2,1.2,27.3,29.8,97.0,36.4,7.2,-0.2
21,Danny Ainge,/players/a/aingeda01.html,1982,1995,G,13,193cm,79kg,1959-03-17,1,0,0,0,1042,11.5,2.7,4.0,46.9,37.8,84.6,51.9,14.7,71.5
22,Alexis Ajinça,/players/a/ajincal01.html,2009,2017,CF,8,218cm,112kg,1988-05-06,0,0,0,0,293,5.3,3.9,0.5,50.3,28.6,79.7,50.7,14.9,7.5
23,Josh Akognon,/players/a/akognjo01.html,2013,2013,G,0,180cm,83kg,1986-02-10,0,0,0,0,3,1.7,0.3,0.3,50.0,50.0,-,62.5,15.3,0.0
24,DeVaughn Akoon-Purcell,/players/a/akoonde01.html,2019,2019,G,0,198cm,90kg,1993-06-05,0,0,0,0,7,1.0,0.6,0.9,30.0,0.0,50.0,30.0,8.2,0.0
25,Solomon Alabi,/players/a/alabiso01.html,2011,2012,C,1,216cm,113kg,1988-03-21,0,0,0,0,26,1.5,2.3,0.2,31.4,-,70.0,31.4,10.3,0.0
26,Mark Alarie,/players/a/alarima01.html,1987,1991,F,4,203cm,98kg,1963-12-11,0,0,0,0,325,7.5,3.4,1.1,47.5,25.2,77.5,48.3,13.0,8.4
27,Furkan Aldemir,/players/a/aldemfu01.html,2015,2015,FC,0,208cm,108kg,1991-08-09,0,0,0,0,41,2.3,4.3,0.7,51.3,0.0,48.1,51.3,12.0,1.4
28,Cole Aldrich,/players/a/aldrico01.html,2011,2018,C,7,211cm,113kg,1988-10-31,0,0,0,0,339,3.1,3.3,0.5,52.7,-,73.8,52.7,16.6,9.6
29,LaMarcus Aldridge,/players/a/aldrila01.html,2007,2020,FC,13,211cm,113kg,1985-07-19,7,5,0,0,1003,19.5,8.3,2.0,49.1,31.2,81.1,49.7,20.8,111.4
30,Chuck Aleksinas,/players/a/aleksch01.html,1985,1985,C,0,211cm,117kg,1959-02-26,0,0,0,0,74,5.1,3.6,0.5,47.8,0.0,73.3,47.8,9.1,0.4
31,Cliff Alexander,/players/a/alexacl01.html,2016,2016,F,0,203cm,111kg,1995-11-16,0,0,0,0,8,1.3,0.8,0.0,50.0,-,-,50.0,11.6,0.0
32,Cory Alexander,/players/a/alexaco01.html,1996,2005,G,9,185cm,83kg,1973-06-22,0,0,0,0,307,5.5,1.6,2.7,38.9,35.4,75.6,46.8,12.4,3.0
33,Courtney Alexander,/players/a/alexaco02.html,2001,2003,G,2,196cm,92kg,1977-04-27,0,0,0,0,187,9.0,2.2,1.2,42.2,33.9,81.3,43.5,11.5,4.1
34,Gary Alexander,/players/a/alexaga01.html,1994,1994,F,0,201cm,108kg,1969-11-01,0,0,0,0,11,1.7,1.4,0.2,57.1,-,33.3,57.1,8.6,0.0
35,Joe Alexander,/players/a/alexajo01.html,2009,2010,F,1,203cm,104kg,1986-12-26,0,0,0,0,67,4.2,1.8,0.7,41.0,34.0,69.8,44.2,9.9,0.5
36,Kyle Alexander,/players/a/alexaky01.html,2020,2020,F,0,211cm,99kg,1996-10-21,0,0,0,0,2,1.0,1.5,0.0,50.0,-,-,50.0,4.7,0.0
37,Victor Alexander,/players/a/alexavi01.html,1992,2002,CF,10,206cm,120kg,1969-08-31,0,0,0,0,286,8.9,4.8,0.9,51.8,28.6,63.4,52.2,13.7,8.8
38,Nickeil Alexander-Walker,/players/a/alexani01.html,2020,2020,G,0,196cm,92kg,1998-09-02,0,0,0,0,47,5.7,1.8,1.9,36.8,34.6,67.6,45.5,8.9,-0.2
39,Steve Alford,/players/a/alforst01.html,1988,1991,G,3,188cm,83kg,1964-11-23,0,0,0,0,169,4.4,0.9,1.0,45.9,32.4,87.0,48.7,14.4,3.2
40,Rawle Alkins,/players/a/alkinra01.html,2019,2019,G,0,196cm,102kg,1997-10-29,0,0,0,0,10,3.7,2.6,1.3,33.3,25.0,66.7,37.2,8.1,-0.1
41,Grayson Allen,/players/a/allengr01.html,2019,2020,G,1,193cm,89kg,1995-10-08,0,0,0,0,76,7.1,1.4,1.0,42.9,37.1,80.0,53.3,10.3,1.2
42,Jarrett Allen,/players/a/allenja01.html,2018,2020,CF,2,211cm,110kg,1998-04-21,0,0,0,0,222,10.1,7.8,1.2,60.9,16.7,69.4,61.3,19.0,20.0
43,Jerome Allen,/players/a/allenje01.html,1996,1997,G,1,193cm,83kg,1973-01-28,0,0,0,0,117,2.9,1.1,1.7,35.0,31.7,63.0,41.1,8.5,0.2
44,Kadeem Allen,/players/a/allenka01.html,2018,2020,G,2,185cm,90kg,1993-01-15,0,0,0,0,47,5.5,1.5,2.3,43.5,34.9,75.7,48.8,13.5,1.0
45,Lavoy Allen,/players/a/allenla01.html,2012,2017,FC,5,206cm,117kg,1989-02-04,0,0,0,0,388,4.8,4.8,1.0,47.1,13.3,68.2,47.2,12.5,13.8
46,Malik Allen,/players/a/allenma01.html,2002,2011,FC,9,208cm,115kg,1978-06-27,0,0,0,0,478,4.9,2.8,0.5,43.9,18.8,77.8,44.0,9.9,6.6
47,Randy Allen,/players/a/allenra01.html,1989,1990,F,1,203cm,99kg,1965-01-26,0,0,0,0,70,3.6,2.1,0.3,44.2,0.0,53.3,44.2,8.3,0.2
48,Ray Allen,/players/a/allenra02.html,1997,2014,G,17,196cm,92kg,1975-07-20,10,2,0,Hall of Fame,1300,18.9,4.1,3.4,45.2,40.0,89.4,53.0,18.6,145.1
49,Tony Allen,/players/a/allento01.html,2005,2018,GF,13,193cm,96kg,1982-01-11,0,0,6,0,820,8.1,3.5,1.3,47.5,28.2,70.9,48.7,14.2,38.7
50,Lance Allred,/players/a/allrela01.html,2008,2008,C,0,211cm,113kg,1981-02-02,0,0,0,0,3,1.0,0.3,0.0,25.0,-,50.0,25.0,-1.0,0.0
51,Darrell Allums,/players/a/allumda01.html,1981,1981,F,0,206cm,99kg,1958-09-12,0,0,0,0,22,2.7,3.0,1.1,34.3,0.0,59.1,34.3,5.3,-0.3
52,Morris Almond,/players/a/almonmo01.html,2008,2012,G,4,198cm,102kg,1985-02-02,0,0,0,0,38,3.1,1.2,0.3,38.1,29.2,74.3,41.2,7.0,0.0
53,Derrick Alston,/players/a/alstode01.html,1995,1997,F,2,211cm,102kg,1972-08-20,0,0,0,0,139,5.4,3.8,0.7,48.9,14.3,48.7,49.0,11.7,2.6
54,Rafer Alston,/players/a/alstora01.html,2000,2010,G,10,188cm,77kg,1976-07-24,0,0,0,0,671,10.1,2.8,4.8,38.3,35.4,72.9,46.1,13.2,32.9
55,Peter Aluma,/players/a/alumape01.html,1999,1999,C,0,208cm,117kg,1973-04-23,0,0,0,0,2,1.0,1.0,0.0,50.0,-,-,50.0,3.1,0.0
56,John Amaechi,/players/a/amaecjo01.html,1996,2003,CF,7,208cm,122kg,1970-11-26,0,0,0,0,294,6.2,2.6,0.8,40.3,7.7,67.1,40.3,8.9,0.5
57,Ashraf Amaya,/players/a/amayaas01.html,1996,1997,F,1,203cm,104kg,1971-11-23,0,0,0,0,85,4.5,4.2,0.4,45.5,50.0,63.3,45.7,11.5,1.9
58,Al-Farouq Aminu,/players/a/aminual01.html,2011,2020,F,9,203cm,99kg,1990-09-21,0,0,0,0,688,7.6,6.1,1.2,42.1,33.5,74.5,47.9,12.3,27.5
59,Lou Amundson,/players/a/amundlo01.html,2007,2016,FC,9,206cm,99kg,1982-12-07,0,0,0,0,428,3.7,3.6,0.4,47.4,0.0,44.4,47.4,12.0,6.9
60,Chris Andersen,/players/a/anderch01.html,2002,2017,CF,15,208cm,111kg,1978-07-07,0,0,0,0,695,5.4,5.0,0.5,53.2,22.1,65.4,53.5,16.7,39.7
61,David Andersen,/players/a/anderda03.html,2010,2011,C,1,211cm,111kg,1980-06-23,0,0,0,0,103,4.9,2.8,0.6,44.0,34.7,67.4,47.8,11.7,1.5
62,Alan Anderson,/players/a/anderal01.html,2006,2017,GF,11,198cm,99kg,1982-10-16,0,0,0,0,330,7.3,2.2,1.1,40.5,34.4,81.6,48.4,10.3,7.4
63,Antonio Anderson,/players/a/anderan02.html,2010,2010,G,0,198cm,97kg,1985-06-05,0,0,0,0,1,2.0,1.0,0.0,33.3,-,-,33.3,-1.7,0.0
64,Derek Anderson,/players/a/anderde01.html,1998,2008,G,10,196cm,87kg,1974-07-18,0,0,0,0,615,12.0,3.2,3.4,40.8,34.1,85.3,46.3,15.3,43.9
65,Dwight Anderson,/players/a/anderdw01.html,1983,1983,G,0,190cm,83kg,1960-12-28,0,0,0,0,5,4.2,0.4,0.6,50.0,-,70.0,50.0,10.6,0.0
66,Eric Anderson,/players/a/anderer01.html,1993,1994,F,1,206cm,99kg,1970-05-26,0,0,0,0,27,1.6,1.1,0.2,34.3,100.0,59.3,37.1,13.1,0.2
67,Greg Anderson,/players/a/andergr01.html,1988,1998,FC,10,208cm,104kg,1964-06-22,0,0,0,0,680,7.3,6.2,0.6,49.2,8.7,55.7,49.2,13.0,18.7
68,J.J. Anderson,/players/a/anderjj01.html,1983,1985,F,2,203cm,88kg,1960-09-23,0,0,0,0,157,4.8,2.8,0.7,46.5,0.0,55.8,46.5,12.1,2.7
69,James Anderson,/players/a/anderja01.html,2011,2016,GF,5,198cm,96kg,1989-03-25,0,0,0,0,247,5.8,2.3,1.2,41.1,32.1,75.5,48.8,9.9,3.3
70,Justin Anderson,/players/a/anderju01.html,2016,2020,G,4,198cm,104kg,1993-11-19,0,0,0,0,226,5.2,2.5,0.7,41.3,29.6,77.4,48.5,12.6,4.6
71,Kenny Anderson,/players/a/anderke01.html,1992,2005,G,13,183cm,76kg,1970-10-09,1,0,0,0,858,12.6,3.1,6.1,42.1,34.6,79.0,44.9,16.4,62.5
72,Kim Anderson,/players/a/anderki01.html,1979,1979,F,0,201cm,90kg,1955-05-12,0,0,0,0,21,3.0,2.1,0.7,31.2,53.6,3.0,-0.4,,
73,Kyle Anderson,/players/a/anderky01.html,2015,2020,FG,5,206cm,104kg,1993-09-20,0,0,0,0,367,5.4,4.0,2.0,48.8,31.1,69.9,51.3,13.4,17.9
74,Michael Anderson,/players/a/andermi01.html,1989,1989,G,0,180cm,83kg,1966-03-23,0,0,0,0,36,5.7,2.5,4.3,41.7,14.3,69.5,42.0,10.5,0.2
75,Nick Anderson,/players/a/anderni01.html,1990,2002,FG,12,198cm,92kg,1968-01-20,0,0,0,0,800,14.4,5.1,2.6,44.6,35.6,66.7,50.0,15.8,55.3
76,Richard Anderson,/players/a/anderri01.html,1983,1990,FC,7,208cm,108kg,1960-11-19,0,0,0,0,407,5.6,3.5,1.5,41.2,33.3,76.2,44.6,12.3,7.6
77,Ron Anderson,/players/a/anderro01.html,1985,1994,FG,9,201cm,97kg,1958-10-15,0,0,0,0,664,10.6,3.5,1.4,47.1,28.7,81.4,47.9,14.3,24.2
78,Ryan Anderson,/players/a/anderry01.html,2009,2020,F,11,206cm,108kg,1988-05-06,0,0,0,0,649,12.3,5.3,0.9,42.2,38.0,85.4,52.3,16.5,46.7
79,Shandon Anderson,/players/a/andersh01.html,1997,2006,FG,9,198cm,94kg,1973-12-31,0,0,0,0,719,7.4,3.1,1.4,45.7,31.6,73.9,49.2,11.7,23.6
80,Willie Anderson,/players/a/anderwi01.html,1989,1997,GF,8,201cm,86kg,1967-01-08,0,0,0,0,555,12.2,3.8,3.8,47.1,26.6,78.6,47.9,13.8,27.9
81,Martynas Andriuškevičius,/players/a/andrima01.html,2006,2006,C,0,218cm,108kg,1986-03-12,0,0,0,0,6,0.0,0.7,0.0,0.0,-,-,0.0,15.5,0.0
82,Ike Anigbogu,/players/a/anigbik01.html,2018,2019,FC,1,208cm,113kg,1998-10-17,0,0,0,0,14,0.9,0.9,0.1,33.3,-,83.3,33.3,17.0,0.0
83,Michael Ansley,/players/a/anslemi01.html,1990,1992,F,2,201cm,102kg,1967-02-08,0,0,0,0,149,6.9,4.2,0.4,51.3,-,72.2,51.3,17.0,6.4
84,Chris Anstey,/players/a/anstech01.html,1998,2000,C,2,213cm,112kg,1975-01-01,0,0,0,0,155,5.2,3.4,0.8,41.3,13.8,75.5,41.6,13.2,2.8
85,Giannis Antetokounmpo,/players/a/antetgi01.html,2014,2020,FG,6,211cm,109kg,1994-12-06,4,4,3,0,528,20.1,8.9,4.3,52.6,28.4,72.2,54.7,23.0,64.4
86,Kostas Antetokounmpo,/players/a/antetko01.html,2019,2020,F,1,208cm,90kg,1997-11-20,0,0,0,0,7,1.3,0.6,0.3,50.0,-,50.0,50.0,10.2,0.0
87,Thanasis Antetokounmpo,/players/a/antetth01.html,2016,2020,F,4,198cm,99kg,1992-07-18,0,0,0,0,22,2.8,1.1,0.7,51.9,0.0,41.2,51.9,13.1,0.2
88,Carmelo Anthony,/players/a/anthoca01.html,2004,2020,F,16,203cm,107kg,1984-05-29,10,6,0,0,1122,23.6,6.5,2.9,44.8,34.9,81.2,48.2,19.9,102.3
89,Greg Anthony,/players/a/anthogr01.html,1992,2002,G,10,183cm,79kg,1967-11-15,0,0,0,0,757,7.3,1.9,4.0,40.3,34.9,73.3,46.7,14.5,35.9
90,Joel Anthony,/players/a/anthojo01.html,2008,2017,C,9,206cm,111kg,1982-08-09,0,0,0,0,490,2.2,2.8,0.2,51.3,-,66.2,51.3,9.7,15.3
91,Pero Antić,/players/a/anticpe01.html,2014,2015,CF,1,211cm,117kg,1982-07-29,0,0,0,0,113,6.3,3.5,0.9,39.2,31.4,73.0,48.3,10.6,3.0
92,OG Anunoby,/players/a/anunoog01.html,2018,2020,F,2,201cm,105kg,1997-07-17,0,0,0,0,210,7.8,3.5,1.0,48.0,36.5,65.0,56.7,11.3,10.7
93,Keith Appling,/players/a/applike01.html,2016,2016,G,0,185cm,83kg,1992-02-13,0,0,0,0,5,1.2,0.2,0.2,25.0,0.0,100.0,25.0,-4.8,-0.1
94,Rafael Araújo,/players/a/araujra01.html,2005,2007,C,2,211cm,127kg,1980-08-12,0,0,0,0,139,2.8,2.8,0.3,40.5,25.0,67.9,40.6,6.3,-0.4
95,Robert Archibald,/players/a/archiro01.html,2003,2004,F,1,211cm,113kg,1980-03-29,0,0,0,0,44,1.2,1.6,0.4,28.3,-,42.9,28.3,4.9,0.0
96,Ryan Arcidiacono,/players/a/arcidry01.html,2018,2020,G,2,190cm,88kg,1994-03-26,0,0,0,0,163,5.2,2.2,2.5,43.3,37.3,82.9,53.9,10.4,5.3
97,Gilbert Arenas,/players/a/arenagi01.html,2002,2012,G,10,190cm,86kg,1982-01-06,3,3,0,0,552,20.7,3.9,5.3,42.1,35.1,80.3,48.2,19.6,51.3
98,Trevor Ariza,/players/a/arizatr01.html,2005,2020,F,15,203cm,97kg,1985-06-30,0,0,0,0,1064,10.5,4.8,2.2,42.3,35.2,73.2,50.4,13.2,62.5
99,Joe Arlauckas,/players/a/arlaujo01.html,1988,1988,F,0,206cm,104kg,1965-07-20,0,0,0,0,9,3.8,1.4,0.9,32.6,-,75.0,32.6,7.9,-0.1
100,B.J. Armstrong,/players/a/armstbj01.html,1990,2000,G,10,188cm,79kg,1967-09-09,1,0,0,0,747,9.8,1.8,3.3,47.7,42.5,85.6,51.3,14.5,45.0
101,Brandon Armstrong,/players/a/armstbr01.html,2002,2004,G,2,196cm,85kg,1980-06-16,0,0,0,0,108,2.2,0.6,0.2,35.2,33.3,60.0,39.5,4.9,-0.6
102,Darrell Armstrong,/players/a/armstda01.html,1995,2008,G,13,183cm,77kg,1968-06-22,0,0,0,0,840,9.2,2.7,4.0,40.9,33.4,87.1,48.0,16.3,49.8
103,Hilton Armstrong,/players/a/armsthi01.html,2007,2014,FC,7,211cm,106kg,1984-11-11,0,0,0,0,292,3.0,2.6,0.3,50.1,28.6,58.2,50.2,9.9,3.9
104,Carlos Arroyo,/players/a/arroyca01.html,2002,2011,G,9,188cm,91kg,1979-07-30,0,0,0,0,569,6.6,1.7,3.1,43.8,33.8,80.6,45.9,13.4,20.1
105,Darrell Arthur,/players/a/arthuda01.html,2009,2018,F,9,206cm,106kg,1988-03-25,0,0,0,0,503,6.5,3.5,0.8,44.4,35.2,76.5,47.0,12.2,12.3
106,Jamel Artis,/players/a/artisja01.html,2018,2018,GF,0,201cm,96kg,1993-01-12,0,0,0,0,15,5.1,2.5,1.2,39.2,27.6,58.3,44.3,6.9,0.0
107,Ömer Aşık,/players/a/asikom01.html,2011,2018,C,7,213cm,115kg,1986-07-04,0,0,0,0,471,5.3,7.1,0.6,52.8,0.0,55.1,52.8,13.4,20.9
108,Vincent Askew,/players/a/askewvi01.html,1988,1998,GF,10,198cm,95kg,1966-02-28,0,0,0,0,467,7.1,2.5,2.2,47.9,30.0,75.4,49.4,12.6,22.1
109,Keith Askins,/players/a/askinke01.html,1991,1999,GF,8,201cm,89kg,1967-12-15,0,0,0,0,486,3.8,2.9,0.8,40.1,35.5,71.7,48.3,9.2,14.5
110,Chucky Atkins,/players/a/atkinch01.html,2000,2010,G,10,180cm,72kg,1974-08-14,0,0,0,0,696,9.9,1.7,3.4,41.2,36.4,77.2,48.9,13.1,27.9
111,Stacey Augmon,/players/a/augmost01.html,1992,2006,FG,14,203cm,92kg,1968-08-01,0,0,0,0,1001,8.0,3.2,1.6,46.9,15.2,72.8,47.0,13.7,43.8
112,D.J. Augustin,/players/a/augusdj01.html,2009,2020,G,11,180cm,83kg,1987-11-10,0,0,0,0,864,9.9,1.9,4.0,41.2,37.9,86.5,49.5,14.2,44.8
113,James Augustine,/players/a/augusja01.html,2007,2008,F,1,208cm,106kg,1984-02-27,0,0,0,0,27,1.6,1.2,0.1,51.4,-,50.0,51.4,11.1,0.3
114,Isaac Austin,/players/a/austiis01.html,1992,2002,C,10,208cm,115kg,1969-08-18,0,0,0,0,432,7.6,4.7,1.2,44.6,17.6,67.0,44.8,13.0,9.2
115,Ken Austin,/players/a/austike01.html,1984,1984,F,0,206cm,92kg,1961-07-15,0,0,0,0,7,1.7,0.4,0.1,46.2,-,-,46.2,5.6,0.0
116,Anthony Avent,/players/a/aventan01.html,1993,2000,F,7,206cm,106kg,1969-10-18,0,0,0,0,352,5.6,4.5,0.8,40.3,0.0,68.6,40.3,8.8,0.3
117,William Avery,/players/a/averywi01.html,2000,2002,G,2,188cm,89kg,1979-08-08,0,0,0,0,142,2.7,0.7,1.4,33.0,25.5,71.4,37.8,7.3,-0.9
118,Gustavo Ayón,/players/a/ayongu01.html,2012,2014,C,2,208cm,113kg,1985-04-01,0,0,0,0,135,4.7,4.4,1.3,53.6,0.0,50.4,53.6,14.7,5.1
119,Jeff Ayres,/players/p/pendeje02.html,2010,2016,F,6,206cm,108kg,1987-04-29,0,0,0,0,237,2.9,2.7,0.4,55.3,40.0,77.6,55.5,12.4,6.3
120,Deandre Ayton,/players/a/aytonde01.html,2019,2020,C,1,211cm,113kg,1998-07-23,0,0,0,0,109,17.0,10.7,1.8,57.0,17.6,74.8,57.1,20.3,9.0
121,Kelenna Azubuike,/players/a/azubuke01.html,2007,2012,G,5,196cm,99kg,1983-12-16,0,0,0,0,208,10.5,4.0,1.1,45.9,40.9,77.0,51.9,14.3,9.3
122,Chris Babb,/players/b/babbch01.html,2014,2014,G,0,196cm,102kg,1990-02-14,0,0,0,0,14,1.6,1.2,0.2,26.7,22.2,-,36.7,3.7,0.0
123,Luke Babbitt,/players/b/babbilu01.html,2011,2018,F,7,206cm,102kg,1989-06-20,0,0,0,0,381,4.8,2.2,0.6,40.8,40.2,74.7,53.2,10.1,7.2
124,Miloš Babić,/players/b/babicmi01.html,1991,1992,CF,1,213cm,108kg,1968-11-23,0,0,0,0,21,1.8,1.0,0.5,37.5,-,65.0,37.5,10.9,-0.1
125,Dwayne Bacon,/players/b/bacondw01.html,2018,2020,G,2,198cm,100kg,1995-08-30,0,0,0,0,135,5.3,2.3,1.0,40.3,34.5,71.8,45.2,7.9,0.3
126,Dalibor Bagarić,/players/b/bagarda01.html,2001,2003,C,2,216cm,115kg,1980-02-07,0,0,0,0,95,2.6,2.5,0.4,36.1,0.0,55.9,36.1,7.0,-0.9
127,John Bagley,/players/b/baglejo01.html,1983,1994,G,11,183cm,83kg,1960-04-23,0,0,0,0,665,8.7,2.6,6.0,43.7,24.1,77.9,44.8,13.0,16.6
128,Marvin Bagley,/players/b/baglema01.html,2019,2020,F,1,211cm,106kg,1999-03-14,0,0,0,0,75,14.8,7.6,1.0,49.7,28.8,70.3,51.7,18.3,4.0
129,Carl Bailey,/players/b/baileca01.html,1982,1982,C,0,213cm,95kg,1958-04-23,0,0,0,0,1,2.0,0.0,0.0,100.0,-,-,100.0,-6.8,0.0
130,James Bailey,/players/b/baileja01.html,1980,1988,FC,8,206cm,99kg,1957-05-21,0,0,0,0,595,8.8,5.0,0.8,48.4,7.7,70.3,48.4,13.0,16.3
131,Thurl Bailey,/players/b/baileth01.html,1984,1999,FC,15,211cm,97kg,1961-04-07,0,0,0,0,928,12.8,5.1,1.4,47.3,11.4,81.2,47.3,14.3,45.0
132,Toby Bailey,/players/b/baileto01.html,1999,2000,G,1,198cm,96kg,1975-11-19,0,0,0,0,73,3.3,1.7,0.6,40.7,20.0,69.2,41.4,11.0,1.0
133,Cameron Bairstow,/players/b/bairsca01.html,2015,2016,FC,1,206cm,113kg,1990-12-07,0,0,0,0,36,1.2,1.0,0.2,29.6,20.0,84.6,30.6,5.0,-0.1
134,LaMark Baker,/players/b/bakerla01.html,1999,1999,G,0,185cm,79kg,1969-11-11,0,0,0,0,1,0.0,0.0,0.0,0.0,-,-,0.0,-46.6,-0.1
135,Maurice Baker,/players/b/bakerma01.html,2005,2005,G,0,185cm,79kg,1979-07-28,0,0,0,0,5,0.0,0.4,0.2,0.0,-,-,0.0,-0.2,0.0
136,Ron Baker,/players/b/bakerro01.html,2017,2019,G,2,193cm,99kg,1993-03-30,0,0,0,0,96,3.1,1.4,1.8,35.8,26.5,70.7,41.7,7.4,0.2
137,Vin Baker,/players/b/bakervi01.html,1994,2006,F,12,211cm,105kg,1971-11-23,4,2,0,0,791,15.0,7.4,1.9,48.5,21.5,63.8,48.7,16.3,47.0
138,Wade Baldwin,/players/b/baldwwa01.html,2017,2019,G,2,193cm,90kg,1996-03-29,0,0,0,0,56,3.1,1.2,1.4,35.5,25.0,77.6,38.2,7.1,-0.3
139,Renaldo Balkman,/players/b/balkmre01.html,2007,2012,F,5,203cm,94kg,1984-07-14,0,0,0,0,221,4.0,3.5,0.6,51.0,17.2,54.2,51.8,14.3,7.2
140,Cedric Ball,/players/b/ballce01.html,1991,1991,F,0,203cm,95kg,1968-04-16,0,0,0,0,7,1.1,1.6,0.0,37.5,-,100.0,37.5,10.8,0.0
141,Lonzo Ball,/players/b/balllo01.html,2018,2020,G,2,198cm,86kg,1997-10-27,0,0,0,0,162,10.7,6.1,6.6,39.0,34.1,48.7,48.1,12.5,6.0
142,Mohamed Bamba,/players/b/bambamo01.html,2019,2020,C,1,213cm,104kg,1998-05-12,0,0,0,0,109,5.7,4.9,0.7,47.1,32.8,62.4,52.6,16.3,4.2
143,Gene Banks,/players/b/banksge01.html,1982,1987,FG,5,201cm,97kg,1959-05-15,0,0,0,0,468,11.3,5.8,2.9,53.9,4.3,73.0,53.9,15.1,31.2
144,Marcus Banks,/players/b/banksma01.html,2004,2011,G,7,188cm,90kg,1981-11-19,0,0,0,0,348,5.9,1.5,2.1,43.2,32.7,76.8,46.9,12.2,6.6
